"SP1","SP2","DISTANCE"
"vulgaris","hispanicus",346.1498005
"vulgaris","vaucheri",346.1498005
"vulgaris","carbonelli",346.1498005
"vulgaris","liolepis",346.1498005
"vulgaris","natrix",346.1496005
"vulgaris","astreptophora",346.1496005
"vulgaris","helvetica",346.1496005
"vulgaris","colchica",346.1496505
"vulgaris","fragilis",346.1496505
"vulgaris","orbicularis",346.1496505
"vulgaris","trinacris",346.1496505
"vulgaris","varius",346.1498005
"vulgaris","ruber",346.1498005
"vulgaris","nuchalis",346.1498005
"vulgaris","salar",449.0727005
"vulgaris","trutta",449.0727005
"vulgaris","senegalensis",449.0727005
"vulgaris","aegyptiaca",449.0727005
"glareolus","bombina",346.14985
"glareolus","variegata",346.14985
"glareolus","marmoratus",346.14975
"glareolus","pygmaeus",346.14975
"glareolus","ivanbureschi",346.14975
"glareolus","anatolicus",346.14975
"glareolus","macedonicus",346.14975
"glareolus","cristatus",346.14975
"glareolus","montandoni",346.1497505
"glareolus","vulgaris",346.1497505
"glareolus","glareolus",0
"glareolus","rutilus",3.6
"glareolus","bocagei",316.64005
"glareolus","guadarramae",316.64005
"glareolus","virescens",316.64005
"glareolus","hispanicus",316.64005
"glareolus","vaucheri",316.64005
"glareolus","carbonelli",316.64005
"glareolus","liolepis",316.64005
"glareolus","natrix",316.63985
"glareolus","astreptophora",316.63985
"glareolus","helvetica",316.63985
"glareolus","colchica",316.6399
"glareolus","fragilis",316.6399
"glareolus","orbicularis",316.6399
"glareolus","trinacris",316.6399
"glareolus","varius",316.64005
"glareolus","ruber",316.64005
"glareolus","nuchalis",316.64005
"glareolus","salar",449.07275
"glareolus","trutta",449.07275
"glareolus","senegalensis",449.07275
"glareolus","aegyptiaca",449.07275
"rutilus","bombina",346.14985
"rutilus","variegata",346.14985
"rutilus","marmoratus",346.14975
"rutilus","pygmaeus",346.14975
"rutilus","ivanbureschi",346.14975
"rutilus","anatolicus",346.14975
"rutilus","macedonicus",346.14975
"rutilus","cristatus",346.14975
"rutilus","montandoni",346.1497505
"rutilus","vulgaris",346.1497505
"rutilus","glareolus",3.6
"rutilus","rutilus",0
"rutilus","bocagei",316.64005
"rutilus","guadarramae",316.64005
"rutilus","virescens",316.64005
"rutilus","hispanicus",316.64005
"rutilus","vaucheri",316.64005
"rutilus","carbonelli",316.64005
"rutilus","liolepis",316.64005
"rutilus","natrix",316.63985
"rutilus","astreptophora",316.63985
"rutilus","helvetica",316.63985
"rutilus","colchica",316.6399
"rutilus","fragilis",316.6399
"rutilus","orbicularis",316.6399
"rutilus","trinacris",316.6399
"rutilus","varius",316.64005
"rutilus","ruber",316.64005
"rutilus","nuchalis",316.64005
"rutilus","salar",449.07275
"rutilus","trutta",449.07275
"rutilus","senegalensis",449.07275
"rutilus","aegyptiaca",449.07275
"bocagei","bombina",346.1499
"bocagei","variegata",346.1499
"bocagei","marmoratus",346.1498
"bocagei","pygmaeus",346.1498
"bocagei","ivanbureschi",346.1498
"bocagei","anatolicus",346.1498
"bocagei","macedonicus",346.1498
"bocagei","cristatus",346.1498
"bocagei","montandoni",346.1498005
"bocagei","vulgaris",346.1498005
"bocagei","glareolus",316.64005
"bocagei","rutilus",316.64005
"bocagei","bocagei",0
"bocagei","guadarramae",3.5
"bocagei","virescens",4
"bocagei","hispanicus",4.7
"bocagei","vaucheri",4.7
"bocagei","carbonelli",5.3
"bocagei","liolepis",6.8
"bocagei","natrix",185.8324
"bocagei","astreptophora",185.8324
"bocagei","helvetica",185.8324
"bocagei","colchica",185.83245
"bocagei","fragilis",185.83245
"bocagei","orbicularis",294.42815
"bocagei","trinacris",294.42815
"bocagei","varius",294.4283
"bocagei","ruber",294.4283
"bocagei","nuchalis",294.4283
"bocagei","salar",449.0728
"bocagei","trutta",449.0728
"bocagei","senegalensis",449.0728
"bocagei","aegyptiaca",449.0728
"guadarramae","bombina",346.1499
"guadarramae","variegata",346.1499
"guadarramae","marmoratus",346.1498
"guadarramae","pygmaeus",346.1498
"guadarramae","ivanbureschi",346.1498
"guadarramae","anatolicus",346.1498
"guadarramae","macedonicus",346.1498
"guadarramae","cristatus",346.1498
"guadarramae","montandoni",346.1498005
"guadarramae","vulgaris",346.1498005
"guadarramae","glareolus",316.64005
"guadarramae","rutilus",316.64005
"guadarramae","bocagei",3.5
"guadarramae","guadarramae",0
"guadarramae","virescens",4
"guadarramae","hispanicus",4.7
"guadarramae","vaucheri",4.7
"guadarramae","carbonelli",5.3
"guadarramae","liolepis",6.8
"guadarramae","natrix",185.8324
"guadarramae","astreptophora",185.8324
"guadarramae","helvetica",185.8324
"guadarramae","colchica",185.83245
"guadarramae","fragilis",185.83245
"guadarramae","orbicularis",294.42815
"guadarramae","trinacris",294.42815
"guadarramae","varius",294.4283
"guadarramae","ruber",294.4283
"guadarramae","nuchalis",294.4283
"guadarramae","salar",449.0728
"guadarramae","trutta",449.0728
"guadarramae","senegalensis",449.0728
"guadarramae","aegyptiaca",449.0728
"virescens","bombina",346.1499
"virescens","variegata",346.1499
"virescens","marmoratus",346.1498
"virescens","pygmaeus",346.1498
"virescens","ivanbureschi",346.1498
"virescens","anatolicus",346.1498
"virescens","macedonicus",346.1498
"virescens","cristatus",346.1498
"virescens","montandoni",346.1498005
"virescens","vulgaris",346.1498005
"virescens","glareolus",316.64005
"virescens","rutilus",316.64005
"virescens","bocagei",4
"virescens","guadarramae",4
"virescens","virescens",0
"virescens","hispanicus",4.7
"virescens","vaucheri",4.7
"virescens","carbonelli",5.3
"virescens","liolepis",6.8
"virescens","natrix",185.8324
"virescens","astreptophora",185.8324
"virescens","helvetica",185.8324
"virescens","colchica",185.83245
"virescens","fragilis",185.83245
"virescens","orbicularis",294.42815
"virescens","trinacris",294.42815
"virescens","varius",294.4283
"virescens","ruber",294.4283
"virescens","nuchalis",294.4283
"virescens","salar",449.0728
"virescens","trutta",449.0728
"virescens","senegalensis",449.0728
"virescens","aegyptiaca",449.0728
"hispanicus","bombina",346.1499
"hispanicus","variegata",346.1499
"hispanicus","marmoratus",346.1498
"hispanicus","pygmaeus",346.1498
"hispanicus","ivanbureschi",346.1498
"hispanicus","anatolicus",346.1498
"hispanicus","macedonicus",346.1498
"hispanicus","cristatus",346.1498
"hispanicus","montandoni",346.1498005
"hispanicus","vulgaris",346.1498005
"hispanicus","glareolus",316.64005
"hispanicus","rutilus",316.64005
"hispanicus","bocagei",4.7
"hispanicus","guadarramae",4.7
"hispanicus","virescens",4.7
"hispanicus","hispanicus",0
"hispanicus","vaucheri",4.2
"hispanicus","carbonelli",5.3
"hispanicus","liolepis",6.8
"hispanicus","natrix",185.8324
"hispanicus","astreptophora",185.8324
"hispanicus","helvetica",185.8324
"hispanicus","colchica",185.83245
"hispanicus","fragilis",185.83245
"hispanicus","orbicularis",294.42815
"hispanicus","trinacris",294.42815
"hispanicus","varius",294.4283
"hispanicus","ruber",294.4283
"hispanicus","nuchalis",294.4283
"hispanicus","salar",449.0728
"hispanicus","trutta",449.0728
"hispanicus","senegalensis",449.0728
"hispanicus","aegyptiaca",449.0728
"vaucheri","bombina",346.1499
"vaucheri","variegata",346.1499
"vaucheri","marmoratus",346.1498
"vaucheri","pygmaeus",346.1498
"vaucheri","ivanbureschi",346.1498
"vaucheri","anatolicus",346.1498
"vaucheri","macedonicus",346.1498
"vaucheri","cristatus",346.1498
"vaucheri","montandoni",346.1498005
"vaucheri","vulgaris",346.1498005
"vaucheri","glareolus",316.64005
"vaucheri","rutilus",316.64005
"vaucheri","bocagei",4.7
"vaucheri","guadarramae",4.7
"vaucheri","virescens",4.7
"vaucheri","hispanicus",4.2
"vaucheri","vaucheri",0
"vaucheri","carbonelli",5.3
"vaucheri","liolepis",6.8
"vaucheri","natrix",185.8324
"vaucheri","astreptophora",185.8324
"vaucheri","helvetica",185.8324
"vaucheri","colchica",185.83245
"vaucheri","fragilis",185.83245
"vaucheri","orbicularis",294.42815
"vaucheri","trinacris",294.42815
"vaucheri","varius",294.4283
"vaucheri","ruber",294.4283
"vaucheri","nuchalis",294.4283
"vaucheri","salar",449.0728
"vaucheri","trutta",449.0728
"vaucheri","senegalensis",449.0728
"vaucheri","aegyptiaca",449.0728
"carbonelli","bombina",346.1499
"carbonelli","variegata",346.1499
"carbonelli","marmoratus",346.1498
"carbonelli","pygmaeus",346.1498
"carbonelli","ivanbureschi",346.1498
"carbonelli","anatolicus",346.1498
"carbonelli","macedonicus",346.1498
"carbonelli","cristatus",346.1498
"carbonelli","montandoni",346.1498005
"carbonelli","vulgaris",346.1498005
"carbonelli","glareolus",316.64005
"carbonelli","rutilus",316.64005
"carbonelli","bocagei",5.3
"carbonelli","guadarramae",5.3
"carbonelli","virescens",5.3
"carbonelli","hispanicus",5.3
"carbonelli","vaucheri",5.3
"carbonelli","carbonelli",0
"carbonelli","liolepis",6.8
"carbonelli","natrix",185.8324
"carbonelli","astreptophora",185.8324
"carbonelli","helvetica",185.8324
"carbonelli","colchica",185.83245
"carbonelli","fragilis",185.83245
"carbonelli","orbicularis",294.42815
"carbonelli","trinacris",294.42815
"carbonelli","varius",294.4283
"carbonelli","ruber",294.4283
"carbonelli","nuchalis",294.4283
"carbonelli","salar",449.0728
"carbonelli","trutta",449.0728
"carbonelli","senegalensis",449.0728
"carbonelli","aegyptiaca",449.0728
"liolepis","bombina",346.1499
"liolepis","variegata",346.1499
"liolepis","marmoratus",346.1498
"liolepis","pygmaeus",346.1498
"liolepis","ivanbureschi",346.1498
"liolepis","anatolicus",346.1498
"liolepis","macedonicus",346.1498
"liolepis","cristatus",346.1498
"liolepis","montandoni",346.1498005
"liolepis","vulgaris",346.1498005
"liolepis","glareolus",316.64005
"liolepis","rutilus",316.64005
"liolepis","bocagei",6.8
"liolepis","guadarramae",6.8
"liolepis","virescens",6.8
"liolepis","hispanicus",6.8
"liolepis","vaucheri",6.8
"liolepis","carbonelli",6.8
"liolepis","liolepis",0
"liolepis","natrix",185.8324
"liolepis","astreptophora",185.8324
"liolepis","helvetica",185.8324
"liolepis","colchica",185.83245
"liolepis","fragilis",185.83245
"liolepis","orbicularis",294.42815
"liolepis","trinacris",294.42815
"liolepis","varius",294.4283
"liolepis","ruber",294.4283
"liolepis","nuchalis",294.4283
"liolepis","salar",449.0728
"liolepis","trutta",449.0728
"liolepis","senegalensis",449.0728
"liolepis","aegyptiaca",449.0728
"natrix","bombina",346.1497
"natrix","variegata",346.1497
"natrix","marmoratus",346.1496
"natrix","pygmaeus",346.1496
"natrix","ivanbureschi",346.1496
"natrix","anatolicus",346.1496
"natrix","macedonicus",346.1496
"natrix","cristatus",346.1496
"natrix","montandoni",346.1496005
"natrix","vulgaris",346.1496005
"natrix","glareolus",316.63985
"natrix","rutilus",316.63985
"natrix","bocagei",185.8324
"natrix","guadarramae",185.8324
"natrix","virescens",185.8324
"natrix","hispanicus",185.8324
"natrix","vaucheri",185.8324
"natrix","carbonelli",185.8324
"natrix","liolepis",185.8324
"natrix","natrix",0
"natrix","astreptophora",13.74
"natrix","helvetica",13.74
"natrix","colchica",179.30235
"natrix","fragilis",179.30235
"natrix","orbicularis",294.42795
"natrix","trinacris",294.42795
"natrix","varius",294.4281
"natrix","ruber",294.4281
"natrix","nuchalis",294.4281
"natrix","salar",449.0726
"natrix","trutta",449.0726
"natrix","senegalensis",449.0726
"natrix","aegyptiaca",449.0726
